Date,pre,actual,predicted
14/05/2013,67.470001,0,0
13/05/2013,67.32,0,0
10/05/2013,67.199997,0,0
09/05/2013,66.669998,0,0
08/05/2013,65.989998,0,0
07/05/2013,66.07,0,0
06/05/2013,65.059998,0,0
03/05/2013,64.800003,0,0
02/05/2013,63.880001,0,0
01/05/2013,63.209999,0,0
30/04/2013,62.84,0,0
29/04/2013,63,0,0
26/04/2013,61.869999,0,0
25/04/2013,62,0,0
24/04/2013,61.939999,0,0
23/04/2013,62.59,0,0
22/04/2013,62.009998,0,0
19/04/2013,61.560001,0,0
18/04/2013,59.990002,0,0
17/04/2013,60.68,0,0
16/04/2013,60.75,0,0
15/04/2013,58.880001,0,0
12/04/2013,60.549999,0,0
11/04/2013,60.549999,0,0
10/04/2013,60.110001,0,0
09/04/2013,59.139999,0,0
08/04/2013,58.82,0,0
05/04/2013,57.700001,0,0
04/04/2013,57.59,0,0
03/04/2013,57.25,0,0
02/04/2013,57.459999,0,0
01/04/2013,56.689999,0,0
28/03/2013,56.799999,0,0
27/03/2013,56.470001,0,0
26/03/2013,56.630001,0,0
25/03/2013,56.209999,0,0
22/03/2013,56.779999,0,0
21/03/2013,56.310001,0,0
20/03/2013,56.939999,0,0
19/03/2013,56.310001,0,0
18/03/2013,56.830002,0,0
15/03/2013,57.580002,0,0
14/03/2013,57.75,0,0
13/03/2013,57.34,0,0
12/03/2013,57.110001,0,0
11/03/2013,57.66,0,0
08/03/2013,57.389999,0,0
07/03/2013,56.32,0,0
06/03/2013,56.360001,0,0
05/03/2013,56.48,0,0
04/03/2013,55.799999,0,0
01/03/2013,55.330002,0,0
28/02/2013,54.59,0,0
27/02/2013,54.48,0,0
26/02/2013,53.900002,0,0
25/02/2013,53.59,0,0
22/02/2013,54.25,0,0
21/02/2013,54.169998,0,0
20/02/2013,54.599998,0,0
19/02/2013,55.73,0,0
15/02/2013,55.610001,0,0
14/02/2013,54.880001,0,0
13/02/2013,54.959999,0,0
12/02/2013,54.950001,0,0
11/02/2013,54.75,0,0
08/02/2013,54.66,0,0
07/02/2013,54.360001,0,0
06/02/2013,54.52,0,0
05/02/2013,54.290001,0,0
04/02/2013,53.900002,0,0
01/02/2013,54.59,0,0
31/01/2013,53.880001,0,0
30/01/2013,53.790001,0,0
29/01/2013,53.990002,0,0
28/01/2013,54.360001,0,0
25/01/2013,54.380001,0,0
24/01/2013,53.950001,0,0
23/01/2013,53.950001,0,0
22/01/2013,52.73,0,0
18/01/2013,52.34,0,0
17/01/2013,52.41,0,0
16/01/2013,51.529999,0,0
15/01/2013,51.09,0,0
14/01/2013,50.59,0,0
11/01/2013,50.580002,0,0
10/01/2013,50.790001,0,0
09/01/2013,50.779999,0,0
08/01/2013,50.759998,0,0
07/01/2013,50.970001,0,0
04/01/2013,52.189999,0,0
03/01/2013,51.209999,0,0
02/01/2013,51.099998,0,0
31/12/2012,49.790001,0,0
28/12/2012,49.150002,0,0
27/12/2012,49.529999,0,0
26/12/2012,49.849998,0,0
24/12/2012,49.880001,0,0
21/12/2012,50,0,0
20/12/2012,50.93,0,0
19/12/2012,49.939999,0,0
18/12/2012,50.220001,0,0
17/12/2012,49.279999,0,0
14/12/2012,48.669998,0,0
13/12/2012,49.110001,0,0
12/12/2012,49.639999,0,0
11/12/2012,49.48,0,0
10/12/2012,49.299999,0,0
07/12/2012,49.240002,0,0
06/12/2012,49.060001,0,0
05/12/2012,49.59,0,0
04/12/2012,49.299999,0,0
03/12/2012,49.290001,0,0
30/11/2012,49.66,0,0
29/11/2012,49.720001,0,0
28/11/2012,49.200001,0,0
27/11/2012,48.599998,0,0
26/11/2012,49.029999,0,0
23/11/2012,49.259998,0,0
21/11/2012,48.68,0,0
20/11/2012,48.439999,0,0
19/11/2012,47.91,0,0
16/11/2012,47.419998,0,0
15/11/2012,47.470001,0,0
14/11/2012,47.169998,0,0
13/11/2012,47.959999,0,0
12/11/2012,47.450001,0,0
09/11/2012,47.060001,0,0
